household_id,MAZ,TAZ,TYPE,NP,HHT,HHINCADJ,WORKERS
58831,389.0,34.0,4,4,1,10876.633502627,1
58832,389.0,34.0,4,3,1,85043.0243784813,1
58833,389.0,34.0,1,4,1,138676.471289391,1
58834,389.0,34.0,1,2,7,125644.210210789,2
58835,389.0,34.0,1,2,1,53586.2497696667,0
58836,389.0,34.0,1,1,4,83620.6865597568,1
58837,389.0,34.0,1,1,6,69405.1698445981,1
58838,389.0,34.0,1,1,4,17188.6966817278,0
58839,390.0,34.0,2,1,6,44234.462805,1
58840,390.0,34.0,2,1,6,44034.2821172157,1
58841,390.0,34.0,2,1,4,7962.2033049,0
58842,390.0,34.0,1,4,1,171886.966817278,2
58843,390.0,34.0,1,2,7,126069.519353992,2
58844,390.0,34.0,1,2,1,144477.964000469,2
58845,390.0,34.0,1,2,1,58730.3860876239,0
58846,390.0,34.0,1,2,2,45415.3239893435,2
58847,390.0,34.0,1,2,3,29094.9946195272,1
58848,390.0,34.0,1,1,4,92751.1463818654,1
58849,390.0,34.0,1,1,4,21611.9176035415,0
58850,391.0,34.0,1,2,1,144477.964000469,2
58851,391.0,34.0,1,2,1,58730.3860876239,0
58852,391.0,34.0,1,2,2,45415.3239893435,2
58853,391.0,34.0,1,2,3,29094.9946195272,1
58854,391.0,34.0,1,1,4,92751.1463818654,1
58855,391.0,34.0,1,1,4,23267.32743543,0
58856,392.0,34.0,4,4,1,10876.633502627,1
58857,392.0,34.0,4,3,1,85043.0243784813,1
58858,392.0,34.0,1,2,3,105919.536309025,2
58859,392.0,34.0,1,2,1,144477.964000469,2
58860,392.0,34.0,1,2,1,50757.6230122592,0
58861,392.0,34.0,1,1,6,79243.697879652,1
58862,392.0,34.0,1,1,4,17493.2522167251,0
58863,393.0,34.0,1,2,7,125644.210210789,2
58864,394.0,34.0,4,4,1,10876.633502627,1
58865,394.0,34.0,4,3,1,85043.0243784813,1
58866,394.0,34.0,4,1,4,18127.7225043783,1
58867,394.0,34.0,2,3,3,86106.6818957969,1
58868,394.0,34.0,2,3,2,35892.890558669,1
58869,394.0,34.0,2,1,4,75230.0483931699,1
58870,394.0,34.0,2,1,6,54383.1675131349,1
58871,394.0,34.0,2,1,4,44124.3317738972,1
58872,394.0,34.0,2,1,4,43053.3409478984,1
