origin_zone,destination_zone,distance,logsum,path_size_sum,iterations,time
1.0,1.0,317.0318611007392,-0.0600439129623698,0.0,0.0,5434.831904584101
1.0,2.0,2156.0542841000806,-2.9662269265984027,1.5082010319924133,5.0,36960.930584572816
1.0,3.0,1008.5379477764563,-1.593101767638747,1.0000000000000002,5.0,17289.22196188211
1.0,4.0,2123.230482341247,-2.9666474593149976,1.516143468284616,5.0,36398.23684013567
1.0,5.0,1694.5420644922262,-2.953966367445981,1.0000000000000002,5.0,29049.29253415245
1.0,6.0,2538.7887423895872,-3.557437772075517,1.0,5.0,43522.09272667864
1.0,7.0,967.2477105511516,-1.0951063019593332,1.0,5.0,16581.38932373403
1.0,8.0,1094.3752066637317,-1.327787261051257,1.0,5.0,18760.717828521112
1.0,9.0,967.8739333847068,-1.0951063019593332,1.0,5.0,16592.12457230926
1.0,10.0,1048.7873589987585,-1.327787261051257,1.0,5.0,17979.211868550145
1.0,11.0,2268.918588507354,-2.7353451158238684,1.0000000000000002,5.0,38895.74723155463
1.0,12.0,634.0637222014784,-0.987995434775738,1.0,5.0,10869.663809168202
1.0,13.0,717.9319040975165,-0.9857321378079044,1.0,5.0,12307.40407024314
1.0,14.0,1631.151121135838,-2.1656022017564798,1.0000000000000002,5.0,27962.590648042933
1.0,15.0,1730.8059534111464,-2.4418749419033228,1.6382694958466584,5.0,29670.95920133394
1.0,16.0,1610.3001135762656,-2.1656022017564798,1.0000000000000002,5.0,27605.14480416456
1.0,17.0,2272.3702961537574,-2.7353451158238684,1.0,5.0,38954.91936263585
1.0,18.0,637.0462055797893,-0.9879954347757384,1.0000000000000002,5.0,10920.792095653533
1.0,19.0,1197.295025638987,-2.6542434644526054,1.0,5.0,20525.05758238264
1.0,20.0,912.7224639468778,-2.6798446596748207,1.0000000000000002,5.0,15646.670810517904
1.0,21.0,2853.2580108729053,-3.972957910025629,1.79626245201763,5.0,48912.99447210695
1.0,22.0,2433.2880628134885,-2.5469002541405183,1.658011809599312,5.0,41713.50964823124
1.0,23.0,2964.511420791607,-2.77844111798418,2.258451904108395,5.0,50820.195784998985
1.0,24.0,3145.582246612249,-2.8860709337974018,2.2810795384008715,5.0,53924.26708478141
1.0,25.0,2688.100424381656,-2.629517665633456,1.7988118682390395,5.0,46081.72156082839
1.0,26.0,2994.052196283616,-2.604846113459743,2.0603114576565376,5.0,51326.609079147696
1.0,27.0,1446.3666845699174,-2.7208085481284714,1.0000000000000002,5.0,24794.857449770014
1.0,28.0,1728.803257838808,-2.0658048379652887,1.0,5.0,29636.627277236705
1.0,29.0,1995.3443392505728,-2.5455820554447515,1.547851399109495,5.0,34205.90295858125
1.0,30.0,2266.843511496758,-2.3697372377319086,1.7223786169022268,5.0,38860.17448280156
1.0,31.0,2270.3599878901714,-2.9688240671903348,1.471385809463928,5.0,38920.45693526008
1.0,32.0,2230.47008911565,-2.392381379818807,1.7181689865125578,5.0,38236.63009912543
1.0,33.0,2243.9178192634554,-2.968745806882748,1.4769342540891943,5.0,38467.162615944944
1.0,34.0,2516.910112646763,-2.383660705329474,1.6363472470756817,5.0,43147.03050251594
