origin_zone,destination_zone,distance,logsum,path_size_sum,iterations,time
1.0,1.0,317.0318611007392,-0.0600439129623698,0.0,0.0,5434.831904584101
1.0,2.0,2159.7474408693824,-4.477928506414226,1.5082010319924133,5.0,37024.24184347512
1.0,3.0,1008.5379477764563,-2.659550956916978,1.0000000000000002,5.0,17289.22196188211
1.0,4.0,2126.9347573873847,-4.478796168329686,1.516143468284616,5.0,36461.73869806946
1.0,5.0,1694.542064492226,-4.187079922650659,1.0000000000000002,5.0,29049.29253415245
1.0,6.0,2538.7887423895863,-5.341564789935992,1.0,5.0,43522.092726678624
1.0,7.0,967.2477105511516,-2.234956208400517,1.0,5.0,16581.38932373403
1.0,8.0,1094.3752066637317,-2.7389973951194007,1.0,5.0,18760.717828521112
1.0,9.0,967.8739333847068,-2.234956208400517,1.0,5.0,16592.12457230926
1.0,10.0,1048.7873589987585,-2.7389973951194007,1.0,5.0,17979.211868550145
1.0,11.0,2268.918588507353,-5.104836275932322,1.0000000000000002,5.0,38895.74723155463
1.0,12.0,634.0637222014784,-2.233944726991516,1.0,5.0,10869.663809168202
1.0,13.0,717.9319040975165,-2.1000095070306566,1.0,5.0,12307.40407024314
1.0,14.0,1631.151121135838,-3.5886885239084023,1.0000000000000002,5.0,27962.590648042933
1.0,15.0,1752.1382563434784,-4.29375178810478,1.6382694958466584,5.0,30036.65582303106
1.0,16.0,1610.3001135762656,-3.5886885239084023,1.0000000000000002,5.0,27605.14480416456
1.0,17.0,2272.370296153757,-5.104836275932322,1.0,5.0,38954.91936263583
1.0,18.0,637.0462055797893,-2.233944726991516,1.0000000000000002,5.0,10920.792095653533
1.0,19.0,1197.2950256389872,-5.134395581507564,1.0,5.0,20525.05758238264
1.0,20.0,912.722463946878,-4.992630324114009,1.0000000000000002,5.0,15646.670810517908
1.0,21.0,2946.483195361984,-7.091500574449833,1.79626245201763,5.0,50511.14049191972
1.0,22.0,2435.8096667459504,-4.48113450697344,1.658011809599312,5.0,41756.73714421629
1.0,23.0,2965.808903555801,-4.808271304059648,2.258451904108395,5.0,50842.43834667088
