household_id,PERSON_NUM,person_id,PUMA_GEOID,AGEP,SEX,WKHP,WKW,ESR,SCHG,MIL,NAICSP,INDP,OCCP,OCCCAT,DDRS,DEAR,DEYE,DOUT,DPHY,DREM,TOLLFACTOR,FAREFACTOR
1,1,1,1303,42,1,40,1,1,-8,4,,,,2,,,,,,,,
1,2,2,1303,29,2,50,1,1,-8,4,,,,6,,,,,,,,
1,3,3,1303,1,1,-8,-8,-8,-8,-8,,,,999,,,,,,,,
2,1,4,1303,57,1,40,1,1,16,4,,,,2,,,,,,,,
2,2,5,1303,52,1,40,1,1,-8,4,,,,1,,,,,,,,
3,1,6,1303,56,2,40,4,6,-8,4,,,,999,,,,,,,,
3,2,7,1303,66,1,-8,-8,6,-8,4,,,,999,,,,,,,,
4,1,8,1303,35,2,7,6,1,16,4,,,,2,,,,,,,,
4,2,9,1303,27,1,46,1,1,-8,4,,,,4,,,,,,,,
5,1,10,1303,28,1,40,1,1,-8,4,,,,1,,,,,,,,
6,1,11,1303,57,2,40,1,1,-8,4,,,,2,,,,,,,,
7,1,12,1303,43,2,30,4,1,-8,4,,,,1,,,,,,,,
8,1,13,1303,50,1,40,1,1,-8,2,,,,1,,,,,,,,
8,2,14,1303,54,2,40,1,2,-8,4,,,,2,,,,,,,,
8,3,15,1303,10,1,-8,-8,-8,6,-8,,,,999,,,,,,,,
8,4,16,1303,5,2,-8,-8,-8,-8,-8,,,,999,,,,,,,,
9,1,17,1303,45,1,50,1,1,-8,4,,,,1,,,,,,,,
9,2,18,1303,43,2,60,1,1,-8,4,,,,4,,,,,,,,
9,3,19,1303,11,1,-8,-8,-8,8,-8,,,,999,,,,,,,,
10,1,20,1303,54,2,-8,-8,6,-8,4,,,,999,,,,,,,,
10,2,21,1303,57,1,50,1,1,-8,4,,,,2,,,,,,,,
10,3,22,1303,28,1,20,5,6,15,4,,,,999,,,,,,,,
11,1,23,1303,65,1,-8,-8,6,-8,2,,,,999,,,,,,,,
11,2,24,1303,61,2,40,1,1,-8,4,,,,1,,,,,,,,
12,1,25,1303,80,1,-8,-8,6,-8,2,,,,999,,,,,,,,
