PUMA,TRACT,BG,BLOCK,household_id,wgtp,SERIALNO,employed,soc,OCCP,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG,person_id
1103,41047000300,410470003001,410470003001023,750871,54,2018HU0411508,0,0,999,48,2,20,6,-8,3,4,14,1,0,75087101
1103,41047000300,410470003001,410470003001023,750872,66,2018HU0565061,1,53,6,49,2,40,1,-8,1,4,11,1,0,75087201
1103,41047000300,410470003001,410470003001023,750872,66,2018HU0565061,0,0,999,28,1,-8,6,-8,-8,4,6,2,0,75087202
1103,41047000300,410470003001,410470003001023,750872,66,2018HU0565061,0,0,999,23,1,-8,6,-8,-8,4,9,3,0,75087203
1103,41047000300,410470003001,410470003001023,750873,70,2018HU1077757,1,41,4,23,1,40,1,6,1,4,11,1,0,75087301
1103,41047000300,410470003001,410470003001023,750873,70,2018HU1077757,0,0,999,1,1,-8,-8,-8,-8,-8,-8,2,0,75087302
1103,41047000300,410470003001,410470003001023,750873,70,2018HU1077757,0,0,999,22,2,-8,6,6,-8,4,11,3,0,75087303
1103,41047000300,410470003001,410470003001023,750874,86,2019HU0409337,1,11,1,47,1,65,1,-8,1,4,7,1,0,75087401
1103,41047000300,410470003001,410470003001023,750875,131,2020HU0248012,0,0,999,50,2,-8,6,-8,-8,4,1,1,0,75087501
1103,41047000300,410470003001,410470003001023,750875,131,2020HU0248012,1,31,2,23,2,40,1,-8,1,4,9,2,0,75087502
1103,41047000300,410470003001,410470003001023,750876,10,2020HU0398631,1,39,1,60,2,50,1,-8,1,4,13,1,0,75087601
1103,41047000300,410470003001,410470003001023,750877,20,2020HU0771967,0,0,999,70,1,-8,6,-8,-8,4,13,1,0,75087701
1103,41047000300,410470003001,410470003001023,750877,20,2020HU0771967,0,0,999,69,2,-8,6,-8,-8,4,13,2,0,75087702
1103,41047000300,410470003001,410470003001023,750878,78,2020HU0968092,1,11,1,37,1,55,1,-8,1,4,11,1,0,75087801
1103,41047000300,410470003001,410470003001023,750878,78,2020HU0968092,1,11,1,37,2,40,1,-8,1,4,12,2,0,75087802
1103,41047000300,410470003001,410470003001023,750878,78,2020HU0968092,0,0,999,14,2,-8,-8,5,-8,-8,4,3,0,75087803
1103,41047000300,410470003001,410470003001023,750878,78,2020HU0968092,0,0,999,7,1,-8,-8,3,-8,-8,2,4,0,75087804
1103,41047000300,410470003001,410470003001023,750879,60,2021HU0006315,1,25,2,55,1,38,1,-8,1,4,13,1,0,75087901
1103,41047000300,410470003001,410470003001023,750879,60,2021HU0006315,0,0,999,56,2,-8,6,-8,-8,4,10,2,0,75087902
1103,41047000300,410470003001,410470003001023,750879,60,2021HU0006315,1,25,2,27,2,30,1,-8,2,4,12,3,0,75087903
1103,41047000300,410470003001,410470003001023,750879,60,2021HU0006315,0,0,999,22,2,-8,6,6,-8,4,12,4,0,75087904
1103,41047000300,410470003001,410470003001023,750880,60,2022HU0075720,1,31,2,24,2,36,1,6,1,4,10,1,0,75088001
1103,41047000300,410470003001,410470003001023,750881,112,2022HU0271779,1,53,6,33,1,50,1,-8,1,4,5,1,0,75088101
1103,41047000300,410470003001,410470003001023,750881,112,2022HU0271779,1,45,5,36,1,40,1,-8,3,4,5,2,0,75088102
1103,41047000300,410470003001,410470003001024,750882,23,2018HU0243094,0,0,999,75,2,-8,6,-8,-8,4,13,1,0,75088201
1103,41047000300,410470003001,410470003001024,750883,22,2018HU0372676,1,43,4,61,2,40,1,-8,1,4,10,1,0,75088301
1103,41047000300,410470003001,410470003001024,750883,22,2018HU0372676,0,0,999,64,1,-8,6,-8,-8,4,11,2,0,75088302
1103,41047000300,410470003001,410470003001024,750883,22,2018HU0372676,0,0,999,32,2,20,6,-8,3,4,8,3,0,75088303
1103,41047000300,410470003001,410470003001024,750884,56,2018HU0383822,0,0,999,65,1,-8,6,-8,-8,4,9,1,0,75088401
1103,41047000300,410470003001,410470003001024,750885,54,2018HU0411508,0,0,999,48,2,20,6,-8,3,4,14,1,0,75088501
1103,41047000300,410470003001,410470003001024,750886,59,2018HU0466538,0,0,999,86,2,-8,6,-8,-8,4,10,1,0,75088601
1103,41047000300,410470003001,410470003001024,750887,66,2018HU0565061,1,53,6,49,2,40,1,-8,1,4,11,1,0,75088701
1103,41047000300,410470003001,410470003001024,750887,66,2018HU0565061,0,0,999,28,1,-8,6,-8,-8,4,6,2,0,75088702
1103,41047000300,410470003001,410470003001024,750887,66,2018HU0565061,0,0,999,23,1,-8,6,-8,-8,4,9,3,0,75088703
1103,41047000300,410470003001,410470003001024,750888,26,2018HU0644807,1,41,4,58,1,60,1,-8,1,4,7,1,0,75088801
1103,41047000300,410470003001,410470003001024,750888,26,2018HU0644807,1,35,3,61,2,30,1,-8,2,4,9,2,0,75088802
1103,41047000300,410470003001,410470003001024,750888,26,2018HU0644807,1,15,1,36,1,40,1,-8,3,4,8,3,0,75088803
1103,41047000300,410470003001,410470003001024,750889,18,2018HU0746890,0,0,999,65,2,-8,6,-8,-8,4,1,1,0,75088901
1103,41047000300,410470003001,410470003001024,750890,40,2018HU0828816,1,47,5,27,1,40,1,6,1,4,12,1,0,75089001
1103,41047000300,410470003001,410470003001024,750891,117,2018HU0876970,1,33,3,24,1,40,1,-8,1,4,9,1,0,75089101
1103,41047000300,410470003001,410470003001024,750891,117,2018HU0876970,1,33,3,18,1,40,1,-8,1,4,9,2,0,75089102
1103,41047000300,410470003001,410470003001024,750892,70,2018HU1077757,1,41,4,23,1,40,1,6,1,4,11,1,0,75089201
1103,41047000300,410470003001,410470003001024,750892,70,2018HU1077757,0,0,999,1,1,-8,-8,-8,-8,-8,-8,2,0,75089202
1103,41047000300,410470003001,410470003001024,750892,70,2018HU1077757,0,0,999,22,2,-8,6,6,-8,4,11,3,0,75089203
1103,41047000300,410470003001,410470003001024,750893,21,2019HU0389613,0,0,999,72,1,-8,6,-8,-8,4,13,1,0,75089301
1103,41047000300,410470003001,410470003001024,750893,21,2019HU0389613,0,0,999,69,2,-8,6,-8,-8,4,13,2,0,75089302
1103,41047000300,410470003001,410470003001024,750894,86,2019HU0409337,1,11,1,47,1,65,1,-8,1,4,7,1,0,75089401
1103,41047000300,410470003001,410470003001024,750895,131,2020HU0248012,0,0,999,50,2,-8,6,-8,-8,4,1,1,0,75089501
1103,41047000300,410470003001,410470003001024,750895,131,2020HU0248012,1,31,2,23,2,40,1,-8,1,4,9,2,0,75089502
1103,41047000300,410470003001,410470003001024,750896,38,2020HU0260411,1,47,5,31,1,25,1,-8,1,4,9,1,0,75089601
1103,41047000300,410470003001,410470003001024,750896,38,2020HU0260411,1,51,6,31,2,40,1,-8,1,4,10,2,0,75089602
1103,41047000300,410470003001,410470003001024,750896,38,2020HU0260411,0,0,999,10,2,-8,-8,3,-8,-8,2,3,0,75089603
1103,41047000300,410470003001,410470003001024,750896,38,2020HU0260411,0,0,999,8,1,-8,-8,3,-8,-8,2,4,0,75089604
1103,41047000300,410470003001,410470003001024,750896,38,2020HU0260411,0,0,999,1,2,-8,-8,-8,-8,-8,-8,5,0,75089605
1103,41047000300,410470003001,410470003001024,750897,24,2020HU0351280,1,53,6,37,2,50,1,-8,1,4,9,1,0,75089701
1103,41047000300,410470003001,410470003001024,750898,10,2020HU0398631,1,39,1,60,2,50,1,-8,1,4,13,1,0,75089801
1103,41047000300,410470003001,410470003001024,750899,45,2020HU0404325,0,0,999,68,1,-8,6,-8,-8,2,9,1,0,75089901
1103,41047000300,410470003001,410470003001024,750899,45,2020HU0404325,0,0,999,74,2,-8,6,-8,-8,4,9,2,0,75089902
1103,41047000300,410470003001,410470003001024,750899,45,2020HU0404325,1,43,4,45,2,40,1,-8,1,4,9,3,0,75089903
1103,41047000300,410470003001,410470003001024,750899,45,2020HU0404325,1,35,3,19,1,20,1,-8,6,4,9,4,0,75089904
1103,41047000300,410470003001,410470003001024,750900,130,2020HU0472713,1,43,4,54,2,40,1,-8,1,4,9,1,0,75090001
1103,41047000300,410470003001,410470003001024,750900,130,2020HU0472713,1,41,4,24,2,30,1,6,1,4,9,2,0,75090002
1103,41047000300,410470003001,410470003001024,750901,30,2020HU0563204,1,37,3,43,1,18,1,-8,5,4,5,1,0,75090101
1103,41047000300,410470003001,410470003001024,750901,30,2020HU0563204,1,37,3,32,2,18,1,-8,5,4,10,2,0,75090102
1103,41047000300,410470003001,410470003001024,750901,30,2020HU0563204,0,0,999,6,2,-8,-8,3,-8,-8,2,3,0,75090103
1103,41047000300,410470003001,410470003001024,750901,30,2020HU0563204,0,0,999,12,2,-8,-8,4,-8,-8,3,4,0,75090104
1103,41047000300,410470003001,410470003001024,750902,94,2020HU0578395,1,39,1,29,2,40,1,-8,1,4,10,1,0,75090201
1103,41047000300,410470003001,410470003001024,750902,94,2020HU0578395,0,0,999,37,1,-8,6,-8,-8,4,4,2,0,75090202
1103,41047000300,410470003001,410470003001024,750902,94,2020HU0578395,0,0,999,13,2,-8,-8,4,-8,-8,3,3,0,75090203
1103,41047000300,410470003001,410470003001024,750902,94,2020HU0578395,0,0,999,8,2,-8,-8,3,-8,-8,2,4,0,75090204
1103,41047000300,410470003001,410470003001024,750902,94,2020HU0578395,0,0,999,6,1,-8,-8,2,-8,-8,2,5,0,75090205
1103,41047000300,410470003001,410470003001024,750903,20,2020HU0771967,0,0,999,70,1,-8,6,-8,-8,4,13,1,0,75090301
1103,41047000300,410470003001,410470003001024,750903,20,2020HU0771967,0,0,999,69,2,-8,6,-8,-8,4,13,2,0,75090302
1103,41047000300,410470003001,410470003001024,750904,78,2020HU0968092,1,11,1,37,1,55,1,-8,1,4,11,1,0,75090401
1103,41047000300,410470003001,410470003001024,750904,78,2020HU0968092,1,11,1,37,2,40,1,-8,1,4,12,2,0,75090402
1103,41047000300,410470003001,410470003001024,750904,78,2020HU0968092,0,0,999,14,2,-8,-8,5,-8,-8,4,3,0,75090403
1103,41047000300,410470003001,410470003001024,750904,78,2020HU0968092,0,0,999,7,1,-8,-8,3,-8,-8,2,4,0,75090404
1103,41047000300,410470003001,410470003001024,750905,60,2021HU0006315,1,25,2,55,1,38,1,-8,1,4,13,1,0,75090501
1103,41047000300,410470003001,410470003001024,750905,60,2021HU0006315,0,0,999,56,2,-8,6,-8,-8,4,10,2,0,75090502
1103,41047000300,410470003001,410470003001024,750905,60,2021HU0006315,1,25,2,27,2,30,1,-8,2,4,12,3,0,75090503
1103,41047000300,410470003001,410470003001024,750905,60,2021HU0006315,0,0,999,22,2,-8,6,6,-8,4,12,4,0,75090504
1103,41047000300,410470003001,410470003001024,750906,72,2021HU0892779,0,0,999,62,1,40,3,-8,6,4,9,1,0,75090601
1103,41047000300,410470003001,410470003001024,750906,72,2021HU0892779,0,0,999,63,2,-8,6,-8,-8,2,11,2,0,75090602
1103,41047000300,410470003001,410470003001024,750907,41,2021HU0950582,1,31,2,61,1,40,1,-8,1,4,11,1,0,75090701
1103,41047000300,410470003001,410470003001024,750908,60,2022HU0075720,1,31,2,24,2,36,1,6,1,4,10,1,0,75090801
1103,41047000300,410470003001,410470003001024,750909,53,2022HU0089170,1,47,5,30,1,40,1,-8,4,4,11,1,0,75090901
1103,41047000300,410470003001,410470003001024,750909,53,2022HU0089170,1,53,6,31,2,40,1,-8,1,4,9,2,0,75090902
1103,41047000300,410470003001,410470003001024,750909,53,2022HU0089170,0,0,999,10,1,-8,-8,3,-8,-8,2,3,0,75090903
1103,41047000300,410470003001,410470003001024,750909,53,2022HU0089170,0,0,999,7,1,-8,-8,3,-8,-8,2,4,0,75090904
1103,41047000300,410470003001,410470003001024,750910,69,2022HU0264634,1,49,5,41,1,6,1,-8,6,4,10,1,0,75091001
1103,41047000300,410470003001,410470003001024,750911,112,2022HU0271779,1,53,6,33,1,50,1,-8,1,4,5,1,0,75091101
1103,41047000300,410470003001,410470003001024,750911,112,2022HU0271779,1,45,5,36,1,40,1,-8,3,4,5,2,0,75091102
1103,41047000300,410470003001,410470003001024,750912,56,2022HU0356753,1,11,1,40,2,50,1,-8,1,4,14,1,0,75091201
1103,41047000300,410470003001,410470003001024,750912,56,2022HU0356753,0,0,999,32,1,-8,6,-8,-8,4,11,2,0,75091202
1103,41047000300,410470003001,410470003001024,750912,56,2022HU0356753,0,0,999,5,2,-8,-8,1,-8,-8,2,3,0,75091203
1103,41047000300,410470003001,410470003001024,750912,56,2022HU0356753,0,0,999,3,1,-8,-8,-8,-8,-8,1,4,0,75091204
1103,41047000300,410470003001,410470003001024,750913,103,2022HU0844390,1,51,6,56,1,40,1,-8,1,4,6,1,0,75091301
1103,41047000300,410470003001,410470003001024,750914,31,2022HU1282037,1,49,5,56,1,40,1,-8,1,4,3,1,0,75091401
1103,41047000300,410470003001,410470003001024,750914,31,2022HU1282037,0,0,999,54,2,-8,6,-8,-8,4,2,2,0,75091402
1103,41047000300,410470003001,410470003001024,750914,31,2022HU1282037,0,0,999,23,1,-8,6,-8,-8,4,11,3,0,75091403
1103,41047000300,410470003001,410470003001024,750914,31,2022HU1282037,0,0,999,21,2,-8,6,-8,-8,4,9,4,0,75091404
1103,41047000300,410470003001,410470003001025,750915,66,2018HU0565061,1,53,6,49,2,40,1,-8,1,4,11,1,0,75091501
1103,41047000300,410470003001,410470003001025,750915,66,2018HU0565061,0,0,999,28,1,-8,6,-8,-8,4,6,2,0,75091502
1103,41047000300,410470003001,410470003001025,750915,66,2018HU0565061,0,0,999,23,1,-8,6,-8,-8,4,9,3,0,75091503
1103,41047000300,410470003001,410470003001025,750916,131,2020HU0248012,0,0,999,50,2,-8,6,-8,-8,4,1,1,0,75091601
1103,41047000300,410470003001,410470003001025,750916,131,2020HU0248012,1,31,2,23,2,40,1,-8,1,4,9,2,0,75091602
1103,41047000300,410470003001,410470003001025,750917,60,2021HU0006315,1,25,2,55,1,38,1,-8,1,4,13,1,0,75091701
1103,41047000300,410470003001,410470003001025,750917,60,2021HU0006315,0,0,999,56,2,-8,6,-8,-8,4,10,2,0,75091702
1103,41047000300,410470003001,410470003001025,750917,60,2021HU0006315,1,25,2,27,2,30,1,-8,2,4,12,3,0,75091703
1103,41047000300,410470003001,410470003001025,750917,60,2021HU0006315,0,0,999,22,2,-8,6,6,-8,4,12,4,0,75091704
1103,41047000300,410470003001,410470003001025,750918,60,2022HU0075720,1,31,2,24,2,36,1,6,1,4,10,1,0,75091801
1103,41047000300,410470003001,410470003001025,750919,112,2022HU0271779,1,53,6,33,1,50,1,-8,1,4,5,1,0,75091901
1103,41047000300,410470003001,410470003001025,750919,112,2022HU0271779,1,45,5,36,1,40,1,-8,3,4,5,2,0,75091902
1103,41047000300,410470003001,410470003001025,750920,80,2022HU0952111,0,0,999,73,1,-8,6,-8,-8,4,12,1,0,75092001
1103,41047000300,410470003001,410470003001025,750920,80,2022HU0952111,0,0,999,70,2,-8,6,-8,-8,4,12,2,0,75092002
1103,41047000300,410470003001,410470003001026,750921,56,2018HU0383822,0,0,999,65,1,-8,6,-8,-8,4,9,1,0,75092101
1103,41047000300,410470003001,410470003001026,750922,54,2018HU0411508,0,0,999,48,2,20,6,-8,3,4,14,1,0,75092201
1103,41047000300,410470003001,410470003001026,750923,59,2018HU0466538,0,0,999,86,2,-8,6,-8,-8,4,10,1,0,75092301
1103,41047000300,410470003001,410470003001026,750924,66,2018HU0565061,1,53,6,49,2,40,1,-8,1,4,11,1,0,75092401
1103,41047000300,410470003001,410470003001026,750924,66,2018HU0565061,0,0,999,28,1,-8,6,-8,-8,4,6,2,0,75092402
1103,41047000300,410470003001,410470003001026,750924,66,2018HU0565061,0,0,999,23,1,-8,6,-8,-8,4,9,3,0,75092403
1103,41047000300,410470003001,410470003001026,750925,26,2018HU0644807,1,41,4,58,1,60,1,-8,1,4,7,1,0,75092501
1103,41047000300,410470003001,410470003001026,750925,26,2018HU0644807,1,35,3,61,2,30,1,-8,2,4,9,2,0,75092502
1103,41047000300,410470003001,410470003001026,750925,26,2018HU0644807,1,15,1,36,1,40,1,-8,3,4,8,3,0,75092503
1103,41047000300,410470003001,410470003001026,750926,18,2018HU0746890,0,0,999,65,2,-8,6,-8,-8,4,1,1,0,75092601
1103,41047000300,410470003001,410470003001026,750927,40,2018HU0828816,1,47,5,27,1,40,1,6,1,4,12,1,0,75092701
1103,41047000300,410470003001,410470003001026,750928,117,2018HU0876970,1,33,3,24,1,40,1,-8,1,4,9,1,0,75092801
1103,41047000300,410470003001,410470003001026,750928,117,2018HU0876970,1,33,3,18,1,40,1,-8,1,4,9,2,0,75092802
1103,41047000300,410470003001,410470003001026,750929,11,2018HU1026077,0,0,999,74,1,-8,6,-8,-8,4,9,1,0,75092901
1103,41047000300,410470003001,410470003001026,750929,11,2018HU1026077,0,0,999,74,2,-8,6,-8,-8,4,9,2,0,75092902
1103,41047000300,410470003001,410470003001026,750930,70,2018HU1077757,1,41,4,23,1,40,1,6,1,4,11,1,0,75093001
1103,41047000300,410470003001,410470003001026,750930,70,2018HU1077757,0,0,999,1,1,-8,-8,-8,-8,-8,-8,2,0,75093002
1103,41047000300,410470003001,410470003001026,750930,70,2018HU1077757,0,0,999,22,2,-8,6,6,-8,4,11,3,0,75093003
1103,41047000300,410470003001,410470003001026,750931,86,2019HU0409337,1,11,1,47,1,65,1,-8,1,4,7,1,0,75093101
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,32,2,-8,6,-8,-8,4,11,1,0,75093201
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,1,53,6,35,1,54,1,-8,3,4,9,2,0,75093202
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,12,2,-8,-8,4,-8,-8,3,3,0,75093203
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,9,1,-8,-8,3,-8,-8,2,4,0,75093204
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,3,1,-8,-8,-8,-8,-8,1,5,0,75093205
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,1,2,-8,-8,-8,-8,-8,-8,6,0,75093206
1103,41047000300,410470003001,410470003001026,750932,24,2019HU1252669,0,0,999,0,1,-8,-8,-8,-8,-8,-8,7,0,75093207
1103,41047000300,410470003001,410470003001026,750933,131,2020HU0248012,0,0,999,50,2,-8,6,-8,-8,4,1,1,0,75093301
1103,41047000300,410470003001,410470003001026,750933,131,2020HU0248012,1,31,2,23,2,40,1,-8,1,4,9,2,0,75093302
1103,41047000300,410470003001,410470003001026,750934,38,2020HU0260411,1,47,5,31,1,25,1,-8,1,4,9,1,0,75093401
1103,41047000300,410470003001,410470003001026,750934,38,2020HU0260411,1,51,6,31,2,40,1,-8,1,4,10,2,0,75093402
1103,41047000300,410470003001,410470003001026,750934,38,2020HU0260411,0,0,999,10,2,-8,-8,3,-8,-8,2,3,0,75093403
1103,41047000300,410470003001,410470003001026,750934,38,2020HU0260411,0,0,999,8,1,-8,-8,3,-8,-8,2,4,0,75093404
1103,41047000300,410470003001,410470003001026,750934,38,2020HU0260411,0,0,999,1,2,-8,-8,-8,-8,-8,-8,5,0,75093405
1103,41047000300,410470003001,410470003001026,750935,24,2020HU0351280,1,53,6,37,2,50,1,-8,1,4,9,1,0,75093501
1103,41047000300,410470003001,410470003001026,750936,10,2020HU0398631,1,39,1,60,2,50,1,-8,1,4,13,1,0,75093601
1103,41047000300,410470003001,410470003001026,750937,130,2020HU0472713,1,43,4,54,2,40,1,-8,1,4,9,1,0,75093701
1103,41047000300,410470003001,410470003001026,750937,130,2020HU0472713,1,41,4,24,2,30,1,6,1,4,9,2,0,75093702
1103,41047000300,410470003001,410470003001026,750938,94,2020HU0578395,1,39,1,29,2,40,1,-8,1,4,10,1,0,75093801
1103,41047000300,410470003001,410470003001026,750938,94,2020HU0578395,0,0,999,37,1,-8,6,-8,-8,4,4,2,0,75093802
1103,41047000300,410470003001,410470003001026,750938,94,2020HU0578395,0,0,999,13,2,-8,-8,4,-8,-8,3,3,0,75093803
1103,41047000300,410470003001,410470003001026,750938,94,2020HU0578395,0,0,999,8,2,-8,-8,3,-8,-8,2,4,0,75093804
1103,41047000300,410470003001,410470003001026,750938,94,2020HU0578395,0,0,999,6,1,-8,-8,2,-8,-8,2,5,0,75093805
1103,41047000300,410470003001,410470003001026,750939,78,2020HU0968092,1,11,1,37,1,55,1,-8,1,4,11,1,0,75093901
1103,41047000300,410470003001,410470003001026,750939,78,2020HU0968092,1,11,1,37,2,40,1,-8,1,4,12,2,0,75093902
1103,41047000300,410470003001,410470003001026,750939,78,2020HU0968092,0,0,999,14,2,-8,-8,5,-8,-8,4,3,0,75093903
1103,41047000300,410470003001,410470003001026,750939,78,2020HU0968092,0,0,999,7,1,-8,-8,3,-8,-8,2,4,0,75093904
1103,41047000300,410470003001,410470003001026,750940,60,2021HU0006315,1,25,2,55,1,38,1,-8,1,4,13,1,0,75094001
1103,41047000300,410470003001,410470003001026,750940,60,2021HU0006315,0,0,999,56,2,-8,6,-8,-8,4,10,2,0,75094002
1103,41047000300,410470003001,410470003001026,750940,60,2021HU0006315,1,25,2,27,2,30,1,-8,2,4,12,3,0,75094003
1103,41047000300,410470003001,410470003001026,750940,60,2021HU0006315,0,0,999,22,2,-8,6,6,-8,4,12,4,0,75094004
1103,41047000300,410470003001,410470003001026,750941,72,2021HU0892779,0,0,999,62,1,40,3,-8,6,4,9,1,0,75094101
1103,41047000300,410470003001,410470003001026,750941,72,2021HU0892779,0,0,999,63,2,-8,6,-8,-8,2,11,2,0,75094102
1103,41047000300,410470003001,410470003001026,750942,41,2021HU0950582,1,31,2,61,1,40,1,-8,1,4,11,1,0,75094201
1103,41047000300,410470003001,410470003001026,750943,60,2022HU0075720,1,31,2,24,2,36,1,6,1,4,10,1,0,75094301
1103,41047000300,410470003001,410470003001026,750944,69,2022HU0264634,1,49,5,41,1,6,1,-8,6,4,10,1,0,75094401
1103,41047000300,410470003001,410470003001026,750945,112,2022HU0271779,1,53,6,33,1,50,1,-8,1,4,5,1,0,75094501
1103,41047000300,410470003001,410470003001026,750945,112,2022HU0271779,1,45,5,36,1,40,1,-8,3,4,5,2,0,75094502
1103,41047000300,410470003001,410470003001026,750946,56,2022HU0356753,1,11,1,40,2,50,1,-8,1,4,14,1,0,75094601
1103,41047000300,410470003001,410470003001026,750946,56,2022HU0356753,0,0,999,32,1,-8,6,-8,-8,4,11,2,0,75094602
1103,41047000300,410470003001,410470003001026,750946,56,2022HU0356753,0,0,999,5,2,-8,-8,1,-8,-8,2,3,0,75094603
1103,41047000300,410470003001,410470003001026,750946,56,2022HU0356753,0,0,999,3,1,-8,-8,-8,-8,-8,1,4,0,75094604
1103,41047000300,410470003001,410470003001026,750947,10,2022HU0766660,0,0,999,71,2,-8,6,-8,-8,4,11,1,0,75094701
1103,41047000300,410470003001,410470003001026,750947,10,2022HU0766660,0,0,999,72,1,-8,6,-8,-8,4,13,2,0,75094702
1103,41047000300,410470003001,410470003001026,750948,103,2022HU0844390,1,51,6,56,1,40,1,-8,1,4,6,1,0,75094801
1103,41047000300,410470003001,410470003001026,750949,31,2022HU1282037,1,49,5,56,1,40,1,-8,1,4,3,1,0,75094901
1103,41047000300,410470003001,410470003001026,750949,31,2022HU1282037,0,0,999,54,2,-8,6,-8,-8,4,2,2,0,75094902
1103,41047000300,410470003001,410470003001026,750949,31,2022HU1282037,0,0,999,23,1,-8,6,-8,-8,4,11,3,0,75094903
1103,41047000300,410470003001,410470003001026,750949,31,2022HU1282037,0,0,999,21,2,-8,6,-8,-8,4,9,4,0,75094904
1103,41047000300,410470003002,410470003002000,750956,105,2018HU0026234,1,47,5,59,1,40,1,-8,1,4,1,1,0,75095601
1103,41047000300,410470003002,410470003002000,750956,105,2018HU0026234,0,0,999,56,2,-8,6,-8,-8,4,1,2,0,75095602
1103,41047000300,410470003002,410470003002000,750957,105,2018HU0026234,1,47,5,59,1,40,1,-8,1,4,1,1,0,75095701
