household_id,PUMA,TRACT,BG,BLOCK,WGTP,SERIALNO,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,NPF,HUPAC,GQTYPE,MAZ,TAZ
750752,1103,41047000300,410470003001,410470003001015,66,2018HU0565061,1,36620.7530901193,1,3,30920.0,3.0,7.0,1184371,1.0,3.0,3.0,4.0,0,8590,97
750753,1103,41047000300,410470003001,410470003001015,131,2020HU0248012,1,44236.2075702897,1,2,38800.0,3.0,7.0,1140108,1.0,3.0,2.0,4.0,0,8590,97
750754,1103,41047000300,410470003001,410470003001015,60,2021HU0006315,2,52879.9140750756,1,4,47500.0,1.0,2.0,1113261,3.0,1.0,4.0,4.0,0,8590,97
750755,1103,41047000300,410470003001,410470003001015,60,2022HU0075720,1,43777.062,1,1,42000.0,3.0,7.0,1042311,1.0,6.0,-8.0,4.0,0,8590,97
750756,1103,41047000300,410470003001,410470003001015,112,2022HU0271779,2,36480.885,1,2,35000.0,3.0,7.0,1042311,1.0,5.0,-8.0,4.0,0,8590,97
750757,1103,41047000300,410470003001,410470003001015,40,2022HU0844125,0,73816.46502,1,2,70820.0,1.0,2.0,1042311,2.0,1.0,2.0,4.0,0,8590,97
750865,1103,41047000300,410470003001,410470003001021,131,2020HU0248012,1,44236.2075702897,1,2,38800.0,3.0,7.0,1140108,1.0,3.0,2.0,4.0,0,9770,97
750866,1103,41047000300,410470003001,410470003001021,20,2020HU0771967,0,55865.3136841288,1,2,49000.0,2.0,2.0,1140108,2.0,1.0,2.0,4.0,0,9770,97
750867,1103,41047000300,410470003001,410470003001021,78,2020HU0968092,2,106030.085155591,2,4,93000.0,3.0,2.0,1140108,2.0,1.0,4.0,2.0,0,9770,97
750868,1103,41047000300,410470003001,410470003001021,60,2021HU0006315,2,52879.9140750756,1,4,47500.0,1.0,2.0,1113261,3.0,1.0,4.0,4.0,0,9770,97
750869,1103,41047000300,410470003001,410470003001021,60,2022HU0075720,1,43777.062,1,1,42000.0,3.0,7.0,1042311,1.0,6.0,-8.0,4.0,0,9770,97
750870,1103,41047000300,410470003001,410470003001021,112,2022HU0271779,2,36480.885,1,2,35000.0,3.0,7.0,1042311,1.0,5.0,-8.0,4.0,0,9770,97
750871,1103,41047000300,410470003001,410470003001023,54,2018HU0411508,0,13738.704264081,1,1,11600.0,3.0,7.0,1184371,1.0,6.0,-8.0,4.0,0,8587,97
750872,1103,41047000300,410470003001,410470003001023,66,2018HU0565061,1,36620.7530901193,1,3,30920.0,3.0,7.0,1184371,1.0,3.0,3.0,4.0,0,8587,97
750873,1103,41047000300,410470003001,410470003001023,70,2018HU1077757,1,23687.4211449672,2,3,20000.0,3.0,7.0,1184371,1.0,2.0,2.0,1.0,0,8587,97
750874,1103,41047000300,410470003001,410470003001023,86,2019HU0409337,1,75391.2771875445,1,1,65000.0,1.0,2.0,1159866,2.0,4.0,-8.0,4.0,0,8587,97
750875,1103,41047000300,410470003001,410470003001023,131,2020HU0248012,1,44236.2075702897,1,2,38800.0,3.0,7.0,1140108,1.0,3.0,2.0,4.0,0,8587,97
750876,1103,41047000300,410470003001,410470003001023,10,2020HU0398631,1,84368.0247474598,1,1,74000.0,1.0,2.0,1140108,2.0,6.0,-8.0,4.0,0,8587,97
750877,1103,41047000300,410470003001,410470003001023,20,2020HU0771967,0,55865.3136841288,1,2,49000.0,2.0,2.0,1140108,2.0,1.0,2.0,4.0,0,8587,97
750878,1103,41047000300,410470003001,410470003001023,78,2020HU0968092,2,106030.085155591,2,4,93000.0,3.0,2.0,1140108,2.0,1.0,4.0,2.0,0,8587,97
750879,1103,41047000300,410470003001,410470003001023,60,2021HU0006315,2,52879.9140750756,1,4,47500.0,1.0,2.0,1113261,3.0,1.0,4.0,4.0,0,8587,97
750880,1103,41047000300,410470003001,410470003001023,60,2022HU0075720,1,43777.062,1,1,42000.0,3.0,7.0,1042311,1.0,6.0,-8.0,4.0,0,8587,97
750881,1103,41047000300,410470003001,410470003001023,112,2022HU0271779,2,36480.885,1,2,35000.0,3.0,7.0,1042311,1.0,5.0,-8.0,4.0,0,8587,97
750882,1103,41047000300,410470003001,410470003001024,23,2018HU0243094,0,43347.98069529,1,1,36600.0,2.0,2.0,1184371,1.0,6.0,-8.0,4.0,0,8583,97
750883,1103,41047000300,410470003001,410470003001024,22,2018HU0372676,1,88354.0808707276,1,3,74600.0,2.0,2.0,1184371,2.0,1.0,3.0,4.0,0,8583,97
750884,1103,41047000300,410470003001,410470003001024,56,2018HU0383822,0,18476.1884930744,1,1,15600.0,3.0,2.0,1184371,1.0,4.0,-8.0,4.0,0,8583,97
750885,1103,41047000300,410470003001,410470003001024,54,2018HU0411508,0,13738.704264081,1,1,11600.0,3.0,7.0,1184371,1.0,6.0,-8.0,4.0,0,8583,97
750886,1103,41047000300,410470003001,410470003001024,59,2018HU0466538,0,12554.3332068326,1,1,10600.0,1.0,2.0,1184371,1.0,6.0,-8.0,4.0,0,8583,97
750887,1103,41047000300,410470003001,410470003001024,66,2018HU0565061,1,36620.7530901193,1,3,30920.0,3.0,7.0,1184371,1.0,3.0,3.0,4.0,0,8583,97
750888,1103,41047000300,410470003001,410470003001024,26,2018HU0644807,3,177655.658587254,1,3,150000.0,1.0,2.0,1184371,6.0,1.0,3.0,4.0,0,8583,97
750889,1103,41047000300,410470003001,410470003001024,18,2018HU0746890,0,5329.66975761762,1,1,4500.0,3.0,9.0,1184371,1.0,6.0,-8.0,4.0,0,8583,97
750890,1103,41047000300,410470003001,410470003001024,40,2018HU0828816,1,35531.1317174508,1,1,30000.0,3.0,7.0,1184371,2.0,4.0,-8.0,4.0,0,8583,97
750891,1103,41047000300,410470003001,410470003001024,117,2018HU0876970,2,100671.539866111,1,2,85000.0,3.0,7.0,1184371,1.0,2.0,2.0,4.0,0,8583,97
750892,1103,41047000300,410470003001,410470003001024,70,2018HU1077757,1,23687.4211449672,2,3,20000.0,3.0,7.0,1184371,1.0,2.0,2.0,1.0,0,8583,97
750893,1103,41047000300,410470003001,410470003001024,21,2019HU0389613,0,86757.9620558204,1,2,74800.0,1.0,2.0,1159866,2.0,5.0,-8.0,4.0,0,8583,97
750894,1103,41047000300,410470003001,410470003001024,86,2019HU0409337,1,75391.2771875445,1,1,65000.0,1.0,2.0,1159866,2.0,4.0,-8.0,4.0,0,8583,97
750895,1103,41047000300,410470003001,410470003001024,131,2020HU0248012,1,44236.2075702897,1,2,38800.0,3.0,7.0,1140108,1.0,3.0,2.0,4.0,0,8583,97
750896,1103,41047000300,410470003001,410470003001024,38,2020HU0260411,2,46744.4461438628,2,5,41000.0,3.0,6.0,1140108,2.0,1.0,5.0,3.0,0,8583,97
750897,1103,41047000300,410470003001,410470003001024,24,2020HU0351280,1,57005.422126662,1,1,50000.0,1.0,2.0,1140108,3.0,6.0,-8.0,4.0,0,8583,97
750898,1103,41047000300,410470003001,410470003001024,10,2020HU0398631,1,84368.0247474598,1,1,74000.0,1.0,2.0,1140108,2.0,6.0,-8.0,4.0,0,8583,97
750899,1103,41047000300,410470003001,410470003001024,45,2020HU0404325,2,66422.7178619866,1,4,58260.0,1.0,2.0,1140108,3.0,1.0,4.0,4.0,0,8583,97
750900,1103,41047000300,410470003001,410470003001024,130,2020HU0472713,2,76957.3198709937,1,2,67500.0,1.0,2.0,1140108,2.0,3.0,2.0,4.0,0,8583,97
750901,1103,41047000300,410470003001,410470003001024,30,2020HU0563204,2,36483.4701610637,2,4,32000.0,3.0,2.0,1140108,2.0,2.0,3.0,2.0,0,8583,97
750902,1103,41047000300,410470003001,410470003001024,94,2020HU0578395,1,13681.3013103989,2,5,12000.0,3.0,2.0,1140108,0.0,1.0,5.0,2.0,0,8583,97
750903,1103,41047000300,410470003001,410470003001024,20,2020HU0771967,0,55865.3136841288,1,2,49000.0,2.0,2.0,1140108,2.0,1.0,2.0,4.0,0,8583,97
750904,1103,41047000300,410470003001,410470003001024,78,2020HU0968092,2,106030.085155591,2,4,93000.0,3.0,2.0,1140108,2.0,1.0,4.0,2.0,0,8583,97
750905,1103,41047000300,410470003001,410470003001024,60,2021HU0006315,2,52879.9140750756,1,4,47500.0,1.0,2.0,1113261,3.0,1.0,4.0,4.0,0,8583,97
750906,1103,41047000300,410470003001,410470003001024,72,2021HU0892779,0,110769.504220422,1,2,99500.0,1.0,2.0,1113261,2.0,1.0,2.0,4.0,0,8583,97
750907,1103,41047000300,410470003001,410470003001024,41,2021HU0950582,1,61229.3741921928,1,1,55000.0,1.0,2.0,1113261,2.0,4.0,-8.0,4.0,0,8583,97
750908,1103,41047000300,410470003001,410470003001024,60,2022HU0075720,1,43777.062,1,1,42000.0,3.0,7.0,1042311,1.0,6.0,-8.0,4.0,0,8583,97
750909,1103,41047000300,410470003001,410470003001024,53,2022HU0089170,2,52428.2433,2,4,50300.0,3.0,8.0,1042311,3.0,2.0,3.0,2.0,0,8583,97
750910,1103,41047000300,410470003001,410470003001024,69,2022HU0264634,1,229.30842,1,1,220.0,2.0,3.0,1042311,1.0,4.0,-8.0,4.0,0,8583,97
750911,1103,41047000300,410470003001,410470003001024,112,2022HU0271779,2,36480.885,1,2,35000.0,3.0,7.0,1042311,1.0,5.0,-8.0,4.0,0,8583,97
750912,1103,41047000300,410470003001,410470003001024,56,2022HU0356753,1,112569.588,2,4,108000.0,1.0,2.0,1042311,3.0,1.0,4.0,1.0,0,8583,97
